Nr.;Portionsmenge;"=""Kcal""";"=""Fett""";"=""Zucker""";Zeit;Datum
1;6;"=""690.6""";"=""17.5""";"=""30.9""";23:24:03;23.03.2022
2;7;"=""820.2""";"=""22.6""";"=""40.2""";23:24:05;23.03.2022
3;8;"=""930.9""";"=""24.8""";"=""40.4""";23:24:07;23.03.2022
4;8;"=""930.9""";"=""24.8""";"=""40.4""";23:25:07;23.03.2022
5;13;"=""1575.6""";"=""50.0""";"=""95.1""";12:12:31;30.03.2022
6;13;"=""1575.6""";"=""50.0""";"=""95.1""";12:13:44;30.03.2022
7;13;"=""1575.6""";"=""50.0""";"=""95.1""";12:15:25;30.03.2022
8;10;"=""1185.9""";"=""34.6""";"=""66.3""";12:15:29;30.03.2022
9;7;"=""801.9""";"=""19.7""";"=""31.6""";17:55:37;02.06.2022
10;7;"=""801.9""";"=""19.7""";"=""31.6""";17:58:11;02.06.2022
